tag,test_acc,test_auroc,test_f1,val_auroc,train_auroc,feature_dim,n_folds,baseline_acc
D_K10_seed5_t14_12_10,0.7533034953111679,0.7625021258503402,0.8425911331764564,0.7355128205128205,0.8992532664182326,5376,10,0.7010230179028134
F_K10_l12_norms_seed5,0.7343989769820971,0.7578195861678005,0.8320002717690567,0.7318464868464869,0.8728052960585216,1842,10,0.7010230179028134
D_K10_seed5_h512,0.7430946291560102,0.7578174603174604,0.8378426036905828,0.732408424908425,0.8968477645372299,1792,10,0.7010230179028134
D_K10_seed5_thresh_acc,0.7518115942028987,0.7577735260770976,0.8400907800026728,0.7296495171495172,0.8841296482383513,1792,10,0.7010230179028134
D_K10_seed5_l12_lt16,0.750383631713555,0.7577735260770976,0.8412395512861114,0.7296495171495172,0.8841296482383513,1792,10,0.7010230179028134
F_K10_l12_lvm_norms_seed5,0.747463768115942,0.7577664399092969,0.8369537451409522,0.7326015651015652,0.8772580037911005,1892,10,0.7010230179028134
F_RK10x2_t_lvm_seed5,0.7467710997442454,0.7568296485260771,0.8397362540059348,0.7387912087912087,0.8943543161320184,5426,20,0.7010230179028132
B_K10_l11_norms_topo,0.7518329070758739,0.7561982709750567,0.8443383550459661,0.7337204462204463,0.8380884749077732,1854,10,0.7010230179028134
F_K10_l12_lvm_seed5_thresh_acc,0.7387681159420291,0.7559105725623583,0.8314440505401336,0.7313053613053613,0.8700221909817738,1842,10,0.7010230179028134
F_K10_l12_lvm_seed5,0.737297527706735,0.7559105725623583,0.8328262940276403,0.7313053613053613,0.8700221909817738,1842,10,0.7010230179028134
D_K10_seed7_l12_lt16,0.738768115942029,0.7549426020408164,0.8330666404455522,0.7293672993672994,0.877773048010992,1792,10,0.7010230179028134
E_RK10x2_seed5_l12,0.7518009377664109,0.7548848497732425,0.8419826380223071,0.7391824841824842,0.8764774183886104,1792,20,0.7010230179028132
E_RK10x2_seed5_lvm,0.7474424552429667,0.7544462159863945,0.8389752779624999,0.7413632201132201,0.8675395132292657,1842,20,0.7010230179028132
F_RK10x2_l12_lvm_seed5,0.7474424552429667,0.7544462159863945,0.8389752779624999,0.7413632201132201,0.8675395132292657,1842,20,0.7010230179028132
B_K10_l11_all,0.7475063938618925,0.7543183106575962,0.8355781465531052,0.7296062271062271,0.8521988993632558,2017,10,0.7010230179028134
B_K10_l12_lvm_topo,0.7649190110826939,0.7534516723356008,0.8504236233971534,0.728116883116883,0.8478632390234029,1854,10,0.7010230179028134
F_K10_p14_12_lvm_seed5,0.7343563512361466,0.7532716836734694,0.8316213539649342,0.7248334998334999,0.8955624355760239,3634,10,0.7010230179028134
F_K10_t_lvm_seed5,0.7475063938618927,0.7532575113378684,0.8401331763541016,0.7314785214785214,0.8993496937981946,5426,10,0.7010230179028134
F_K10_t_lvm_seed5_thresh_acc,0.743158567774936,0.7532575113378684,0.8343001403778306,0.7314785214785214,0.8993496937981946,5426,10,0.7010230179028134
E_RK10x2_seed7_l12,0.7445545609548168,0.7528528911564626,0.8371945663645322,0.7394767732267733,0.87847585076793,1792,20,0.7010230179028132
B_K10_l12_topology,0.7489343563512361,0.7525021258503402,0.8399271363793354,0.7383000333000334,0.8531575262371904,1804,10,0.7010230179028134
D_dropout05_l12,0.7596153846153846,0.7520989836500221,0.8466257668711656,0.7507733097657975,0.7952522255192879,1792,1,0.7019230769230769
F_K10_l12_lvm_seed7,0.7416453537936915,0.7520734126984128,0.8361936503398599,0.7299900099900101,0.8669659429804005,1842,10,0.7010230179028134
